State,Year,Consumption.Commercial.Coal,Consumption.Commercial.Solar,Consumption.Industrial.Coal,Consumption.Industrial.Solar
California,1986,0,0,42519,0
California,1987,11,0,44937,0
California,1988,113,0,50679,0
California,1989,194,129,57673,29
California,1990,465,146,64738,32
California,1991,841,164,62994,36
California,1992,4,179,64801,40
California,1993,2700,195,53625,43
California,1994,3282,219,54174,48
California,1995,2693,250,57900,55
California,1996,3628,288,56202,64
California,1997,2232,319,62178,71
California,1998,2426,360,43348,80
California,1999,576,420,46772,93
California,2000,500,475,47380,105
California,2001,1,582,46727,129
California,2002,1,679,47113,150
California,2003,5,789,47749,175
California,2004,168,967,46188,214
California,2005,410,1448,46284,321
California,2006,30,1912,45062,562
California,2007,0,2531,43136,769
California,2008,0,3869,39420,1238
California,2009,0,4503,31318,1611
California,2010,0,5431,33196,2272
California,2011,0,6836,35572,3279
California,2012,0,9714,30679,5247
California,2013,0,10955,31938,6250
California,2014,0,13660,32620,8000
California,2015,0,14378,30967,9750
California,2016,0,16847,32077,12812
California,2017,0,22621,33663,16214
California,2018,0,30370,33256,17288
California,2019,0,33643,30886,19708
Colorado,1960,2417,0,36641,0
Colorado,1961,2554,0,41155,0
Colorado,1962,3090,0,38641,0
Colorado,1963,2575,0,43666,0
Colorado,1964,2813,0,41821,0
Colorado,1965,3134,0,44203,0
Colorado,1966,3344,0,43048,0
Colorado,1967,2630,0,38709,0
Colorado,1968,2802,0,42911,0
Colorado,1969,3096,0,35849,0
Colorado,1970,2228,0,41422,0
Colorado,1971,2492,0,32893,0
Colorado,1972,2770,0,41467,0
Colorado,1973,2459,0,43570,0
Colorado,1974,1477,0,41608,0
Colorado,1975,308,0,45784,0
Colorado,1976,810,0,41358,0
Colorado,1977,1256,0,43529,0
Colorado,1978,3266,0,34861,0
Colorado,1979,3769,0,40532,0
Colorado,1980,1695,0,43067,0
Colorado,1981,1664,0,39668,0
Colorado,1982,2268,0,25646,0
Colorado,1983,1454,0,15604,0
Colorado,1984,2200,0,18496,0
Colorado,1985,2582,0,17058,0
Colorado,1986,1744,0,16608,0
Colorado,1987,1335,0,15718,0
Colorado,1988,1611,0,14453,0
Colorado,1989,1081,0,13368,0
Colorado,1990,992,0,15383,0
Colorado,1991,1143,0,15558,0
Colorado,1992,1004,0,14784,0
Colorado,1993,675,0,16328,0
Colorado,1994,430,0,18477,0
Colorado,1995,379,1,15814,0
Colorado,1996,259,1,7923,0
Colorado,1997,1076,1,15704,0
Colorado,1998,352,1,8331,0
Colorado,1999,2024,1,9111,0
Colorado,2000,1546,1,9270,0
Colorado,2001,5810,1,6770,0
Colorado,2002,4513,2,4720,0
Colorado,2003,5404,2,6528,0
Colorado,2004,4489,2,6669,0
Colorado,2005,2720,3,6939,1
Colorado,2006,1348,6,6498,0
Colorado,2007,260,11,5352,0
Colorado,2008,6970,239,5410,1
Colorado,2009,6530,372,3213,2
Colorado,2010,6055,662,7479,5
Colorado,2011,3179,1068,3307,9
Colorado,2012,240,1343,6256,12
Colorado,2013,118,1477,7502,15
Colorado,2014,151,1776,8400,19
Colorado,2015,76,1792,8059,21
Colorado,2016,34,1934,6565,21
Colorado,2017,8,2069,6412,19
Colorado,2018,0,2136,3836,22
Colorado,2019,0,2099,4282,22
Connecticut,1960,1975,0,22787,0
Connecticut,1961,1639,0,21495,0
Connecticut,1962,1555,0,19664,0
Connecticut,1963,1310,0,21810,0
Connecticut,1964,1042,0,20176,0
Connecticut,1965,846,0,20423,0
Connecticut,1966,740,0,20556,0
Connecticut,1967,652,0,19740,0
Connecticut,1968,520,0,13541,0
Connecticut,1969,460,0,6814,0
Connecticut,1970,437,0,3421,0
Connecticut,1971,485,0,2200,0
Connecticut,1972,413,0,1401,0
Connecticut,1973,436,0,1248,0
Connecticut,1974,431,0,1447,0
Connecticut,1975,347,0,674,0
Connecticut,1976,339,0,412,0
Connecticut,1977,351,0,447,0
Connecticut,1978,314,0,24,0
Connecticut,1979,256,0,534,0
Connecticut,1980,287,0,0,0
Connecticut,1981,722,0,24,0
Connecticut,1982,571,0,75,0
Connecticut,1983,433,0,197,0
Connecticut,1984,835,0,116,0
Connecticut,1985,665,0,98,0
Connecticut,1986,696,0,202,0
Connecticut,1987,505,0,68,0
Connecticut,1988,223,0,397,0
Connecticut,1989,236,0,50,0
Connecticut,1990,242,0,25,0
Connecticut,1991,269,0,75,0
Connecticut,1992,407,0,299,0
Connecticut,1993,257,0,744,0
Connecticut,1994,256,1,733,0
Connecticut,1995,518,1,0,0
Connecticut,1996,121,1,0,0
Connecticut,1997,160,1,0,0
Connecticut,1998,154,1,0,0
Connecticut,1999,123,1,0,0
Connecticut,2000,88,1,0,0
Connecticut,2001,90,1,0,0
Connecticut,2002,89,2,0,0
Connecticut,2003,88,2,0,0
Connecticut,2004,91,2,0,1
Connecticut,2005,116,3,20,1
Connecticut,2006,84,5,0,0
Connecticut,2007,76,28,0,1
Connecticut,2008,0,107,0,5
Connecticut,2009,0,178,0,10
Connecticut,2010,0,196,0,13
Connecticut,2011,0,192,0,15
Connecticut,2012,0,234,0,20
Connecticut,2013,0,401,0,38
Connecticut,2014,0,646,0,62
Connecticut,2015,0,843,0,92
Connecticut,2016,0,1198,0,146
Connecticut,2017,0,1445,0,194
Connecticut,2018,0,1819,0,228
Connecticut,2019,0,2014,0,266
District of Columbia,1960,1377,0,11981,0
District of Columbia,1961,1447,0,11469,0
District of Columbia,1962,1534,0,9311,0
District of Columbia,1963,1487,0,5649,0
District of Columbia,1964,1257,0,3452,0
District of Columbia,1965,1115,0,3312,0
District of Columbia,1966,1077,0,8398,0
District of Columbia,1967,886,0,6628,0
District of Columbia,1968,805,0,3516,0
District of Columbia,1969,841,0,10210,0
District of Columbia,1970,423,0,10017,0
District of Columbia,1971,373,0,7345,0
District of Columbia,1972,325,0,7339,0
District of Columbia,1973,384,0,6621,0
District of Columbia,1974,560,0,3971,0
District of Columbia,1975,245,0,6951,0
District of Columbia,1976,434,0,5232,0
District of Columbia,1977,0,0,3991,0
District of Columbia,1978,0,0,2017,0
District of Columbia,1979,0,0,2889,0
District of Columbia,1980,2113,0,609,0
District of Columbia,1981,1893,0,97,0
District of Columbia,1982,2543,0,0,0
District of Columbia,1983,2554,0,0,0
District of Columbia,1984,2004,0,0,0
District of Columbia,1985,2721,0,0,0
District of Columbia,1986,1047,0,0,0
District of Columbia,1987,1341,0,0,0
District of Columbia,1988,609,0,0,0
District of Columbia,1989,1175,0,0,0
District of Columbia,1990,1387,0,0,0
District of Columbia,1991,1356,0,0,0
District of Columbia,1992,1029,0,0,0
District of Columbia,1993,1049,0,0,0
District of Columbia,1994,994,1,0,0
District of Columbia,1995,124,1,0,0
District of Columbia,1996,506,1,0,0
District of Columbia,1997,875,1,0,0
District of Columbia,1998,138,1,0,0
District of Columbia,1999,133,1,0,0
District of Columbia,2000,158,1,0,0
District of Columbia,2001,659,1,0,0
District of Columbia,2002,87,2,0,0
District of Columbia,2003,150,2,0,0
District of Columbia,2004,667,2,0,1
District of Columbia,2005,864,4,0,1
District of Columbia,2006,0,13,0,0
District of Columbia,2007,452,13,0,0
District of Columbia,2008,391,18,0,0
District of Columbia,2009,331,18,0,0
District of Columbia,2010,71,60,0,0
District of Columbia,2011,48,163,0,0
District of Columbia,2012,77,191,0,0
District of Columbia,2013,4,192,0,0
District of Columbia,2014,48,213,0,0
District of Columbia,2015,44,214,0,0
District of Columbia,2016,34,141,0,0
District of Columbia,2017,30,270,0,0
District of Columbia,2018,37,389,0,0
District of Columbia,2019,5,448,0,0
Delaware,1960,210,0,823,0
Delaware,1961,191,0,798,0
Delaware,1962,165,0,742,0
Delaware,1963,157,0,1051,0
Delaware,1964,150,0,1025,0
Delaware,1965,136,0,872,0
Delaware,1966,115,0,818,0
Delaware,1967,100,0,667,0
Delaware,1968,96,0,878,0
Delaware,1969,84,0,1000,0
Delaware,1970,82,0,835,0
Delaware,1971,91,0,613,0
Delaware,1972,78,0,573,0
Delaware,1973,82,0,722,0
Delaware,1974,77,0,544,0
Delaware,1975,65,0,639,0
Delaware,1976,64,0,578,0
Delaware,1977,66,0,633,0
Delaware,1978,59,0,2678,0
Delaware,1979,48,0,1910,0
Delaware,1980,73,0,4503,0
Delaware,1981,58,0,4615,0
Delaware,1982,244,0,4275,0
Delaware,1983,103,0,3788,0
Delaware,1984,61,0,4727,0
Delaware,1985,113,0,5364,0
Delaware,1986,167,0,5110,0
Delaware,1987,761,0,5475,0
Delaware,1988,352,0,6144,0
Delaware,1989,392,1,5167,0
Delaware,1990,437,1,5349,0
Delaware,1991,410,1,5215,0
Delaware,1992,6,1,3586,0
Delaware,1993,958,1,4386,0
Delaware,1994,608,1,4771,0
Delaware,1995,21,1,4887,0
Delaware,1996,110,1,4123,0
Delaware,1997,134,1,4389,0
Delaware,1998,168,1,4378,0
Delaware,1999,23,2,3720,0
Delaware,2000,23,2,4669,0
Delaware,2001,22,2,4479,1
Delaware,2002,0,3,2565,1
Delaware,2003,0,3,2574,1
Delaware,2004,0,4,3112,1
Delaware,2005,0,6,3091,1
Delaware,2006,9,17,2694,1
Delaware,2007,12,24,2718,1
Delaware,2008,0,22,2198,1
Delaware,2009,0,33,565,1
Delaware,2010,0,47,0,2
Delaware,2011,0,198,0,12
Delaware,2012,0,254,0,17
Delaware,2013,0,395,0,28
Delaware,2014,0,511,0,36
Delaware,2015,0,509,0,39
Delaware,2016,0,234,2339,34
Delaware,2017,0,273,0,47
Delaware,2018,0,294,0,81
Delaware,2019,0,315,0,73
Florida,1960,0,0,0,0
Florida,1961,0,0,0,0
Florida,1962,0,0,0,0
Florida,1963,0,0,0,0
Florida,1964,0,0,0,0
Florida,1965,0,0,0,0
Florida,1966,0,0,0,0
Florida,1967,0,0,0,0
Florida,1968,0,0,0,0
Florida,1969,0,0,0,0
Florida,1970,0,0,0,0
Florida,1971,0,0,0,0
Florida,1972,0,0,0,0
Florida,1973,0,0,0,0
Florida,1974,0,0,0,0
Florida,1975,0,0,503,0
Florida,1976,0,0,490,0
Florida,1977,0,0,3171,0
Florida,1978,0,0,6128,0
Florida,1979,0,0,8524,0
Florida,1980,192,0,17123,0
Florida,1981,25,0,13534,0
Florida,1982,77,0,10804,0
Florida,1983,306,0,15553,0
Florida,1984,1402,0,20378,0
Florida,1985,2134,0,22583,0
Florida,1986,1832,0,19473,0
Florida,1987,1028,0,24874,0
Florida,1988,51,0,26764,0
Florida,1989,7,0,28621,0
Florida,1990,92,0,30171,0
Florida,1991,4,0,28485,0
Florida,1992,315,0,33382,0
Florida,1993,324,0,32511,0
Florida,1994,428,0,32490,0
Florida,1995,28,0,33256,0
Florida,1996,22,0,31890,0
Florida,1997,0,0,33749,0
Florida,1998,130,0,31969,0
Florida,1999,148,0,29719,0
Florida,2000,213,0,32052,0
Florida,2001,1245,0,30141,0
Florida,2002,212,0,30635,0
Florida,2003,167,0,28345,0
Florida,2004,0,0,27021,0
Florida,2005,7,0,27581,0
Florida,2006,11,1,28659,0
Florida,2007,12,10,27941,0
Florida,2008,0,17,27306,0
Florida,2009,0,69,24051,0
Florida,2010,0,121,21718,1
Florida,2011,0,168,12622,2
Florida,2012,0,353,12772,4
Florida,2013,0,434,14996,5
Florida,2014,0,622,16010,7
Florida,2015,0,698,14984,34
Florida,2016,0,800,13097,53
Florida,2017,0,887,14172,103
Florida,2018,0,1058,12938,120
Florida,2019,0,1289,10304,115
Georgia,1960,3884,0,13922,0
Georgia,1961,3097,0,13649,0
Georgia,1962,3433,0,12777,0
Georgia,1963,2901,0,13965,0
Georgia,1964,2595,0,16054,0
Georgia,1965,2042,0,15888,0
Georgia,1966,2344,0,21629,0
Georgia,1967,1737,0,20645,0
Georgia,1968,1960,0,15104,0
Georgia,1969,1690,0,14080,0
Georgia,1970,1321,0,12011,0
Georgia,1971,976,0,11477,0
Georgia,1972,795,0,9996,0
Georgia,1973,1136,0,9743,0
Georgia,1974,913,0,7087,0
Georgia,1975,843,0,10193,0
Georgia,1976,436,0,13175,0
Georgia,1977,668,0,15112,0
Georgia,1978,360,0,15236,0
Georgia,1979,504,0,13353,0
Georgia,1980,423,0,16521,0
Georgia,1981,638,0,26745,0
Georgia,1982,276,0,26604,0
Georgia,1983,76,0,35104,0
Georgia,1984,1457,0,38173,0
Georgia,1985,738,0,39077,0
Georgia,1986,144,0,44902,0
Georgia,1987,716,0,49042,0
Georgia,1988,532,0,52859,0
Georgia,1989,249,0,51236,0
Georgia,1990,448,0,56141,0
Georgia,1991,163,0,52821,0
Georgia,1992,793,0,44925,0
Georgia,1993,452,0,43170,0
Georgia,1994,612,0,48461,0
Georgia,1995,1290,0,49106,0
Georgia,1996,67,0,49886,0
Georgia,1997,378,0,51325,0
Georgia,1998,249,0,49607,0
Georgia,1999,376,0,49366,0
Georgia,2000,196,0,51033,0
Georgia,2001,256,0,51277,0
Georgia,2002,117,0,47323,0
Georgia,2003,0,0,45538,0
Georgia,2004,157,0,45451,0
Georgia,2005,1120,0,43492,0
Georgia,2006,0,0,40739,0
Georgia,2007,46,0,38888,0
Georgia,2008,331,6,36407,0
Georgia,2009,182,12,26580,0
Georgia,2010,189,94,31763,1
Georgia,2011,223,225,29239,3
Georgia,2012,189,408,21703,6
Georgia,2013,152,851,18647,13
Georgia,2014,99,914,21152,14
Georgia,2015,60,884,12114,20
Georgia,2016,0,283,11109,1419
Georgia,2017,0,303,8366,1662
Georgia,2018,0,336,8431,1981
Georgia,2019,0,398,7834,2177
Hawaii,1960,0,0,0,0
Hawaii,1961,0,0,0,0
Hawaii,1962,0,0,0,0
Hawaii,1963,0,0,0,0
Hawaii,1964,0,0,0,0
Hawaii,1965,0,0,0,0
Hawaii,1966,0,0,0,0
Hawaii,1967,0,0,0,0
Hawaii,1968,0,0,0,0
Hawaii,1969,0,0,0,0
Hawaii,1970,0,0,0,0
Hawaii,1971,0,0,0,0
Hawaii,1972,0,0,0,0
Hawaii,1973,0,0,0,0
Hawaii,1974,0,0,0,0
Hawaii,1975,0,0,0,0
Hawaii,1976,0,0,0,0
Hawaii,1977,0,0,0,0
Hawaii,1978,0,0,0,0
Hawaii,1979,0,0,0,0
Hawaii,1980,0,0,0,0
Hawaii,1981,0,0,0,0
Hawaii,1982,0,0,1149,0
Hawaii,1983,0,0,1040,0
Hawaii,1984,0,0,941,0
Hawaii,1985,0,0,1124,0
Hawaii,1986,0,0,395,0
Hawaii,1987,0,0,1573,0
Hawaii,1988,0,0,1242,0
Hawaii,1989,0,1,795,0
Hawaii,1990,0,1,695,0
Hawaii,1991,0,2,919,0
Hawaii,1992,0,2,1167,0
Hawaii,1993,0,2,1813,0
Hawaii,1994,0,2,1849,0
Hawaii,1995,0,3,4119,1
Hawaii,1996,0,3,3640,1
Hawaii,1997,0,3,3735,1
Hawaii,1998,0,4,3364,1
Hawaii,1999,0,4,2692,1
Hawaii,2000,0,5,2139,1
Hawaii,2001,0,6,2044,1
Hawaii,2002,0,7,655,2
Hawaii,2003,0,8,1374,2
Hawaii,2004,0,10,1253,2
Hawaii,2005,0,14,1411,3
Hawaii,2006,0,38,1637,0
Hawaii,2007,0,78,1795,0
Hawaii,2008,0,165,2311,0
Hawaii,2009,0,269,2033,0
Hawaii,2010,0,379,1415,0
Hawaii,2011,0,628,1305,0
Hawaii,2012,0,1277,1140,0
Hawaii,2013,0,1632,1358,0
Hawaii,2014,0,2168,1368,0
Hawaii,2015,0,2267,1136,4
Hawaii,2016,0,2577,271,19
Hawaii,2017,0,3314,0,23
Hawaii,2018,0,3697,0,23
Hawaii,2019,0,3873,0,33
Iowa,1960,7956,0,51674,0
Iowa,1961,6709,0,48228,0
Iowa,1962,7052,0,49180,0
Iowa,1963,5971,0,52963,0
Iowa,1964,4300,0,51820,0
Iowa,1965,4465,0,57500,0
Iowa,1966,4003,0,55566,0
Iowa,1967,3001,0,49521,0
Iowa,1968,2166,0,45611,0
Iowa,1969,2072,0,43528,0
Iowa,1970,1604,0,42968,0
Iowa,1971,1234,0,31669,0
Iowa,1972,861,0,34324,0
Iowa,1973,965,0,34488,0
Iowa,1974,1537,0,28705,0
Iowa,1975,1775,0,28411,0
Iowa,1976,808,0,32685,0
Iowa,1977,1130,0,31695,0
Iowa,1978,3761,0,29693,0
Iowa,1979,5422,0,36060,0
Iowa,1980,1438,0,32383,0
Iowa,1981,3368,0,32070,0
Iowa,1982,3068,0,31207,0
Iowa,1983,3441,0,31552,0
Iowa,1984,3645,0,32311,0
Iowa,1985,4643,0,35551,0
Iowa,1986,4151,0,35463,0
Iowa,1987,5365,0,42480,0
Iowa,1988,6213,0,41710,0
Iowa,1989,3169,0,53954,0
Iowa,1990,4703,0,53149,0
Iowa,1991,4401,0,59296,0
Iowa,1992,1245,0,52881,0
Iowa,1993,1351,0,50302,0
Iowa,1994,813,0,55004,0
Iowa,1995,1904,0,57924,0
Iowa,1996,4791,0,65732,0
Iowa,1997,7836,0,64950,0
Iowa,1998,6067,0,59972,0
Iowa,1999,8895,0,63426,0
Iowa,2000,6064,0,60879,0
Iowa,2001,5926,0,59062,0
Iowa,2002,6658,0,58529,0
Iowa,2003,6058,0,60241,0
Iowa,2004,3729,0,59190,0
Iowa,2005,5942,0,59135,0
Iowa,2006,6465,0,60820,0
Iowa,2007,6797,0,60831,0
Iowa,2008,5942,0,57480,0
Iowa,2009,6106,0,52608,0
Iowa,2010,6127,0,66005,0
Iowa,2011,5691,1,70327,0
Iowa,2012,4910,9,63588,0
Iowa,2013,4798,33,64323,1
Iowa,2014,4778,154,58685,6
Iowa,2015,3943,248,52535,9
Iowa,2016,2979,336,45408,24
Iowa,2017,2783,512,44628,30
Iowa,2018,2404,726,43924,34
Iowa,2019,2237,882,42803,46
Idaho,1960,4815,0,5014,0
Idaho,1961,4430,0,6270,0
Idaho,1962,4624,0,6723,0
Idaho,1963,4382,0,6132,0
Idaho,1964,4103,0,8433,0
Idaho,1965,3730,0,7164,0
Idaho,1966,3734,0,6165,0
Idaho,1967,3948,0,4209,0
Idaho,1968,3166,0,4348,0
Idaho,1969,2892,0,3275,0
Idaho,1970,1904,0,3603,0
Idaho,1971,3573,0,5145,0
Idaho,1972,2534,0,6080,0
Idaho,1973,3135,0,5655,0
Idaho,1974,2920,0,7064,0
Idaho,1975,2991,0,9141,0
Idaho,1976,3170,0,10696,0
Idaho,1977,3458,0,7298,0
Idaho,1978,3424,0,6976,0
Idaho,1979,2404,0,8850,0
Idaho,1980,1990,0,7091,0
Idaho,1981,1478,0,7998,0
Idaho,1982,1302,0,8790,0
Idaho,1983,1530,0,7644,0
Idaho,1984,1518,0,7146,0
Idaho,1985,830,0,7805,0
Idaho,1986,651,0,7771,0
Idaho,1987,409,0,8328,0
